Nettoforbruk av elektrisk kraft (GWh), etter region, forbrukargruppe, tid  og ;;;;;
 statistikkvariabel;;;;;
;;;;;
 ; ;2011;2012;2013;2014
 ; ;Forbruk i alt;Forbruk i alt;Forbruk i alt;Forbruk i alt
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.9;2.0;1.2;0.7
 ;TENESTEYTING MV.;5.7;5.9;5.8;5.6
 ;HUSHALD OG JORDBRUK;15.4;15.6;15.5;15.3
 ;Primærnæringer;2.8;2.6;2.4;2.6
 ;Hushald;11.8;12.2;12.2;11.8
 ;Hytter og fritidshus;0.8;0.9;0.9;0.9
Sømna;;;;;
 ;ALLE FORBRUKARGRUPPER;41.5;44.2;41.8;43.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.5;11.6;12.2;13.9
 ;TENESTEYTING MV.;7.3;8.6;8.1;7.9
 ;HUSHALD OG JORDBRUK;22.6;24.0;21.5;21.6
 ;Primærnæringer;1.5;1.7;1.5;1.8
 ;Hushald;20.1;21.2;19.0;18.8
 ;Hytter og fritidshus;1.0;1.0;1.0;1.0
Brønnøy;;;;;
 ;ALLE FORBRUKARGRUPPER;115.5;123.1;124.0;120.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;13.7;10.6;10.5;10.2
 ;TENESTEYTING MV.;39.6;43.5;42.9;41.1
 ;HUSHALD OG JORDBRUK;62.3;69.1;70.6;69.4
 ;Primærnæringer;1.6;4.5;4.2;4.3
 ;Hushald;58.3;62.2;63.4;62.4
 ;Hytter og fritidshus;2.4;2.5;2.9;2.8
Vega;;;;;
 ;ALLE FORBRUKARGRUPPER;20.4;21.5;22.0;21.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.5;0.5;0.6;0.6
 ;TENESTEYTING MV.;6.8;7.3;7.4;7.3
 ;HUSHALD OG JORDBRUK;13.1;13.7;14.0;13.7
 ;Primærnæringer;1.1;1.2;1.3;1.4
 ;Hushald;10.9;11.3;11.3;10.9
 ;Hytter og fritidshus;1.1;1.2;1.4;1.4
Vevelstad;;;;;
 ;ALLE FORBRUKARGRUPPER;8.2;8.2;8.6;8.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.6;0.5;0.5;0.6
 ;TENESTEYTING MV.;2.0;2.0;2.1;2.3
 ;HUSHALD OG JORDBRUK;5.7;5.7;6.1;6.0
 ;Primærnæringer;0.9;0.7;1.1;1.1
 ;Hushald;4.3;4.4;4.4;4.3
 ;Hytter og fritidshus;0.5;0.6;0.6;0.6
Herøy (Nordl.);;;;;
 ;ALLE FORBRUKARGRUPPER;31.2;34.7;34.6;34.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.9;0.7;0.7;0.7
 ;TENESTEYTING MV.;6.1;6.3;6.4;6.5
 ;HUSHALD OG JORDBRUK;24.2;27.7;27.5;27.2
 ;Primærnæringer;7.9;10.1;9.7;9.8
 ;Hushald;13.7;14.5;14.6;14.3
 ;Hytter og fritidshus;2.6;3.1;3.2;3.2
Alstahaug;;;;;
 ;ALLE FORBRUKARGRUPPER;122.8;132.9;135.4;129.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;18.8;18.5;19.6;14.8
 ;TENESTEYTING MV.;40.6;45.8;47.1;48.3
 ;HUSHALD OG JORDBRUK;63.4;68.7;68.7;66.8
 ;Primærnæringer;1.5;1.7;1.8;1.7
 ;Hushald;59.9;64.5;64.5;62.8
 ;Hytter og fritidshus;2.0;2.4;2.4;2.3
Leirfjord;;;;;
 ;ALLE FORBRUKARGRUPPER;33.7;33.6;33.0;31.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.5;4.0;2.7;1.4
 ;TENESTEYTING MV.;9.2;6.5;6.7;7.2
 ;HUSHALD OG JORDBRUK;21.0;23.1;23.6;23.0
 ;Primærnæringer;1.0;1.2;1.3;1.2
 ;Hushald;17.9;19.5;19.8;19.1
 ;Hytter og fritidshus;2.1;2.4;2.6;2.6
Vefsn;;;;;
 ;ALLE FORBRUKARGRUPPER;3104.8;3150.6;3139.1;3175.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2915.3;2950.3;2937.6;2980.5
 ;TENESTEYTING MV.;70.9;71.8;73.3;70.3
 ;HUSHALD OG JORDBRUK;118.5;128.5;128.2;125.0
 ;Primærnæringer;10.2;11.0;10.3;10.8
 ;Hushald;106.7;115.8;116.1;112.3
 ;Hytter og fritidshus;1.6;1.7;1.8;1.9
Grane;;;;;
 ;ALLE FORBRUKARGRUPPER;23.2;24.5;25.0;24.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.9;2.2;1.8;1.8
 ;TENESTEYTING MV.;6.7;6.9;7.1;7.4
 ;HUSHALD OG JORDBRUK;14.6;15.4;16.1;15.4
 ;Primærnæringer;0.8;0.7;0.9;0.8
 ;Hushald;11.9;12.8;13.0;12.4
 ;Hytter og fritidshus;1.9;2.0;2.2;2.2
Hattfjelldal;;;;;
 ;ALLE FORBRUKARGRUPPER;34.3;37.1;36.8;36.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;13.9;15.0;14.2;14.3
 ;TENESTEYTING MV.;6.1;6.7;6.8;6.7
 ;HUSHALD OG JORDBRUK;14.4;15.4;15.8;15.6
 ;Primærnæringer;0.7;0.8;0.9;0.8
 ;Hushald;12.1;12.9;12.9;12.8
 ;Hytter og fritidshus;1.6;1.7;2.0;2.0
Dønna;;;;;
 ;ALLE FORBRUKARGRUPPER;23.0;23.1;22.9;23.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.4;0.3;0.1;0.1
 ;TENESTEYTING MV.;4.8;4.8;5.2;6.3
 ;HUSHALD OG JORDBRUK;17.7;18.0;17.6;17.4
 ;Primærnæringer;2.3;1.4;1.4;1.4
 ;Hushald;13.0;13.8;13.4;13.1
 ;Hytter og fritidshus;2.4;2.7;2.9;2.8
Nesna;;;;;
 ;ALLE FORBRUKARGRUPPER;31.2;33.2;32.8;31.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.5;1.8;1.8;1.7
 ;TENESTEYTING MV.;10.5;10.4;10.2;10.1
 ;HUSHALD OG JORDBRUK;19.2;21.0;20.8;19.7
 ;Primærnæringer;0.9;0.9;1.0;0.9
 ;Hushald;16.5;17.8;17.6;16.7
 ;Hytter og fritidshus;1.8;2.2;2.2;2.1
Hemnes;;;;;
 ;ALLE FORBRUKARGRUPPER;69.5;74.5;76.5;83.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;9.1;9.2;9.8;9.6
 ;TENESTEYTING MV.;19.5;21.4;21.9;30.4
 ;HUSHALD OG JORDBRUK;40.8;43.9;44.8;43.5
 ;Primærnæringer;1.6;1.8;1.9;1.9
 ;Hushald;37.2;39.9;40.4;39.1
 ;Hytter og fritidshus;2.1;2.2;2.5;2.5
Rana;;;;;
 ;ALLE FORBRUKARGRUPPER;1880.1;2118.6;1937.4;2070.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1575.8;1798.8;1611.8;1735.9
 ;TENESTEYTING MV.;114.1;117.0;110.7;123.2
 ;HUSHALD OG JORDBRUK;190.2;202.8;214.8;211.7
 ;Primærnæringer;2.0;2.2;2.1;3.6
 ;Hushald;185.3;197.3;209.1;204.6
 ;Hytter og fritidshus;2.9;3.2;3.6;3.5
Lurøy;;;;;
 ;ALLE FORBRUKARGRUPPER;37.3;42.0;39.9;40.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;9.0;10.9;10.2;11.3
 ;TENESTEYTING MV.;7.5;8.0;8.0;8.0
 ;HUSHALD OG JORDBRUK;20.9;23.1;21.7;21.2
 ;Primærnæringer;3.2;3.6;3.0;2.6
 ;Hushald;14.2;15.6;14.8;14.7
 ;Hytter og fritidshus;3.5;3.9;3.9;3.9
Træna;;;;;
 ;ALLE FORBRUKARGRUPPER;15.9;17.4;15.8;14.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;9.6;10.4;9.5;7.8
 ;TENESTEYTING MV.;2.4;2.4;2.4;2.7
 ;HUSHALD OG JORDBRUK;3.9;4.7;3.9;3.8
 ;Primærnæringer;0.3;0.9;0.2;0.2
 ;Hushald;3.2;3.4;3.3;3.2
 ;Hytter og fritidshus;0.3;0.3;0.4;0.4
Rødøy;;;;;
 ;ALLE FORBRUKARGRUPPER;18.9;19.2;20.5;19.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.0;0.6;1.0;0.9
 ;TENESTEYTING MV.;5.7;6.2;6.2;5.8
 ;HUSHALD OG JORDBRUK;12.3;12.5;13.3;12.9
 ;Primærnæringer;0.9;0.1;1.1;1.1
 ;Hushald;9.6;10.5;10.2;9.8
 ;Hytter og fritidshus;1.8;1.9;2.0;2.0
Meløy;;;;;
 ;ALLE FORBRUKARGRUPPER;500.6;389.0;305.0;337.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;407.1;286.1;204.4;237.3
 ;TENESTEYTING MV.;24.0;28.2;28.0;27.7
 ;HUSHALD OG JORDBRUK;69.6;74.7;72.5;72.2
 ;Primærnæringer;4.7;6.2;8.1;9.8
 ;Hushald;62.1;65.3;61.1;59.1
 ;Hytter og fritidshus;2.8;3.2;3.2;3.3
Gildeskål;;;;;
 ;ALLE FORBRUKARGRUPPER;46.9;52.9;53.2;52.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.2;1.5;1.6;2.9
 ;TENESTEYTING MV.;10.0;12.6;12.5;8.7
 ;HUSHALD OG JORDBRUK;35.8;38.8;39.2;40.5
 ;Primærnæringer;10.1;13.0;13.7;14.3
 ;Hushald;18.2;18.2;18.2;17.4
 ;Hytter og fritidshus;7.5;7.6;7.3;8.8
Beiarn;;;;;
 ;ALLE FORBRUKARGRUPPER;16.9;17.8;17.5;16.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.4;0.4;0.4;0.4
 ;TENESTEYTING MV.;5.0;5.4;5.3;4.6
 ;HUSHALD OG JORDBRUK;11.5;12.0;11.9;11.9
 ;Primærnæringer;0.4;0.3;0.5;0.3
 ;Hushald;9.0;9.5;9.4;9.1
 ;Hytter og fritidshus;2.1;2.1;2.0;2.6
Saltdal;;;;;
 ;ALLE FORBRUKARGRUPPER;75.0;80.7;78.6;78.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.3;11.3;10.9;11.0
 ;TENESTEYTING MV.;21.6;23.0;22.2;22.6
 ;HUSHALD OG JORDBRUK;42.1;46.4;45.6;45.3
 ;Primærnæringer;1.4;1.4;1.5;1.6
 ;Hushald;38.0;42.0;41.0;40.7
 ;Hytter og fritidshus;2.7;2.9;3.0;3.0
Fauske;;;;;
 ;ALLE FORBRUKARGRUPPER;150.4;146.5;158.0;155.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;9.6;0.4;9.6;9.0
 ;TENESTEYTING MV.;55.6;57.2;59.3;58.4
 ;HUSHALD OG JORDBRUK;85.2;88.9;89.1;88.1
 ;Primærnæringer;1.9;0.4;1.6;1.6
 ;Hushald;78.6;83.3;82.5;81.4
 ;Hytter og fritidshus;4.7;5.2;5.0;5.1
Sørfold;;;;;
 ;ALLE FORBRUKARGRUPPER;985.7;962.4;862.8;1005.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;945.7;920.1;819.0;961.9
 ;TENESTEYTING MV.;9.7;10.1;9.8;9.8
 ;HUSHALD OG JORDBRUK;30.4;32.2;34.0;33.6
 ;Primærnæringer;12.5;12.5;14.4;14.3
 ;Hushald;16.0;17.4;17.2;17.0
 ;Hytter og fritidshus;1.9;2.3;2.4;2.3
Steigen;;;;;
 ;ALLE FORBRUKARGRUPPER;41.8;45.4;42.2;42.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.3;1.9;1.9;1.8
 ;TENESTEYTING MV.;10.5;10.9;10.1;10.6
 ;HUSHALD OG JORDBRUK;30.0;32.6;30.2;30.5
 ;Primærnæringer;7.0;6.9;4.6;5.2
 ;Hushald;20.2;22.2;22.1;21.7
 ;Hytter og fritidshus;2.9;3.4;3.4;3.5
Hamarøy Hábmer;;;;;
 ;ALLE FORBRUKARGRUPPER;32.3;35.6;34.9;36.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.3;2.1;2.4;2.6
 ;TENESTEYTING MV.;10.3;11.4;11.0;11.8
 ;HUSHALD OG JORDBRUK;20.8;22.2;21.6;21.8
 ;Primærnæringer;3.7;3.0;2.5;2.6
 ;Hushald;14.3;15.8;15.6;15.8
 ;Hytter og fritidshus;2.8;3.4;3.4;3.4
Divtasvuodna Tysfjord;;;;;
 ;ALLE FORBRUKARGRUPPER;105.2;108.4;105.6;112.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;79.4;79.2;76.9;84.5
 ;TENESTEYTING MV.;8.5;9.4;9.3;8.9
 ;HUSHALD OG JORDBRUK;17.3;19.8;19.4;18.8
 ;Primærnæringer;0.2;0.3;0.5;0.4
 ;Hushald;15.5;17.3;16.6;16.3
 ;Hytter og fritidshus;1.7;2.3;2.3;2.1
Lødingen;;;;;
 ;ALLE FORBRUKARGRUPPER;45.8;49.8;47.2;46.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;10.1;10.6;9.1;8.6
 ;TENESTEYTING MV.;10.5;11.7;11.3;11.5
 ;HUSHALD OG JORDBRUK;25.2;27.4;26.7;26.2
 ;Primærnæringer;2.4;2.7;2.5;2.5
 ;Hushald;20.1;21.6;21.0;20.4
 ;Hytter og fritidshus;2.7;3.1;3.3;3.3
Tjeldsund;;;;;
 ;ALLE FORBRUKARGRUPPER;30.5;33.5;32.5;32.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.1;0.1;0.1;0.1
 ;TENESTEYTING MV.;15.8;17.4;16.9;16.5
 ;HUSHALD OG JORDBRUK;14.7;16.0;15.5;15.8
 ;Primærnæringer;0.3;0.3;0.3;0.3
 ;Hushald;12.8;13.8;13.3;13.6
 ;Hytter og fritidshus;1.6;1.9;2.0;2.0
Evenes;;;;;
 ;ALLE FORBRUKARGRUPPER;31.3;35.3;33.8;35.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.4;2.3;1.6;1.6
 ;TENESTEYTING MV.;14.9;18.2;17.6;18.7
 ;HUSHALD OG JORDBRUK;13.0;14.9;14.6;14.8
 ;Primærnæringer;0.2;0.1;0.2;0.2
 ;Hushald;10.6;12.3;11.9;12.2
 ;Hytter og fritidshus;2.2;2.5;2.5;2.5
Ballangen;;;;;
 ;ALLE FORBRUKARGRUPPER;39.6;43.4;42.3;42.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.4;2.9;3.4;3.1
 ;TENESTEYTING MV.;9.3;10.8;10.5;10.0
 ;HUSHALD OG JORDBRUK;26.9;29.7;28.5;29.7
 ;Primærnæringer;1.5;1.2;1.4;1.4
 ;Hushald;20.8;23.0;21.5;22.1
 ;Hytter og fritidshus;4.7;5.5;5.6;6.3
Røst;;;;;
 ;ALLE FORBRUKARGRUPPER;12.1;13.3;12.6;12.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.1;3.4;3.8;3.6
 ;TENESTEYTING MV.;3.5;3.9;3.6;3.9
 ;HUSHALD OG JORDBRUK;5.5;6.0;5.2;5.4
 ;Primærnæringer;0.1;0.1;0.1;0.0
 ;Hushald;5.2;5.6;4.8;5.1
 ;Hytter og fritidshus;0.2;0.2;0.2;0.2
Værøy;;;;;
 ;ALLE FORBRUKARGRUPPER;19.2;18.9;19.7;20.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.9;7.0;8.1;8.5
 ;TENESTEYTING MV.;4.8;5.0;4.7;4.9
 ;HUSHALD OG JORDBRUK;6.5;6.9;6.8;6.9
 ;Primærnæringer;0.2;0.2;0.4;0.5
 ;Hushald;5.9;6.2;6.0;6.0
 ;Hytter og fritidshus;0.4;0.4;0.4;0.4
Flakstad;;;;;
 ;ALLE FORBRUKARGRUPPER;22.9;25.2;24.5;24.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.0;2.2;2.1;2.0
 ;TENESTEYTING MV.;5.4;6.1;6.1;6.4
 ;HUSHALD OG JORDBRUK;15.5;17.0;16.3;16.3
 ;Primærnæringer;2.3;2.8;2.4;2.3
 ;Hushald;11.7;12.6;12.3;12.4
 ;Hytter og fritidshus;1.5;1.6;1.6;1.5
Vestvågøy;;;;;
 ;ALLE FORBRUKARGRUPPER;157.6;172.7;171.4;172.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.4;15.3;17.3;16.9
 ;TENESTEYTING MV.;50.8;53.8;53.0;52.7
 ;HUSHALD OG JORDBRUK;95.3;103.6;101.1;102.4
 ;Primærnæringer;3.1;3.3;1.7;1.6
 ;Hushald;86.6;94.5;93.5;94.7
 ;Hytter og fritidshus;5.6;5.8;5.9;6.1
Vågan;;;;;
 ;ALLE FORBRUKARGRUPPER;151.8;164.9;157.5;157.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;21.3;24.1;26.4;21.2
 ;TENESTEYTING MV.;50.9;56.4;48.9;52.8
 ;HUSHALD OG JORDBRUK;79.5;84.4;82.2;83.2
 ;Primærnæringer;4.4;3.2;2.4;3.1
 ;Hushald;69.5;75.5;73.9;74.3
 ;Hytter og fritidshus;5.6;5.7;5.8;5.8
Hadsel;;;;;
 ;ALLE FORBRUKARGRUPPER;157.4;175.8;167.4;170.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;47.7;52.9;47.3;48.6
 ;TENESTEYTING MV.;37.8;42.7;41.4;42.2
 ;HUSHALD OG JORDBRUK;71.8;80.1;78.7;79.7
 ;Primærnæringer;2.9;3.7;4.2;4.9
 ;Hushald;66.6;73.8;71.8;72.1
 ;Hytter og fritidshus;2.3;2.6;2.7;2.8
Bø (Nordl.);;;;;
 ;ALLE FORBRUKARGRUPPER;45.4;48.6;46.0;46.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;6.6;6.4;5.1;4.9
 ;TENESTEYTING MV.;11.3;11.9;11.4;11.5
 ;HUSHALD OG JORDBRUK;27.6;30.3;29.4;29.7
 ;Primærnæringer;0.8;0.8;0.8;0.8
 ;Hushald;23.8;26.1;25.4;25.6
 ;Hytter og fritidshus;3.0;3.4;3.2;3.3
Øksnes;;;;;
 ;ALLE FORBRUKARGRUPPER;78.8;86.1;87.3;87.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;25.8;27.9;29.9;29.1
 ;TENESTEYTING MV.;14.3;15.1;15.2;15.6
 ;HUSHALD OG JORDBRUK;38.7;43.0;42.2;42.7
 ;Primærnæringer;1.7;2.2;2.2;2.1
 ;Hushald;35.5;39.3;38.5;39.1
 ;Hytter og fritidshus;1.4;1.6;1.5;1.5
Sortland;;;;;
 ;ALLE FORBRUKARGRUPPER;150.3;163.1;158.3;158.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;13.9;13.3;13.3;13.1
 ;TENESTEYTING MV.;48.0;52.1;50.0;49.7
 ;HUSHALD OG JORDBRUK;88.4;97.7;95.0;95.9
 ;Primærnæringer;3.0;2.8;2.6;1.9
 ;Hushald;82.0;91.1;88.9;90.4
 ;Hytter og fritidshus;3.3;3.8;3.5;3.5
Andøy;;;;;
 ;ALLE FORBRUKARGRUPPER;93.8;97.2;90.9;92.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.6;6.6;6.3;6.2
 ;TENESTEYTING MV.;38.2;38.5;34.7;36.4
 ;HUSHALD OG JORDBRUK;48.0;52.1;49.9;49.9
 ;Primærnæringer;1.1;1.3;1.5;1.4
 ;Hushald;44.1;47.4;45.0;45.1
 ;Hytter og fritidshus;2.8;3.4;3.4;3.4
Moskenes;;;;;
 ;ALLE FORBRUKARGRUPPER;18.1;21.8;20.5;20.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.0;2.1;1.6;2.4
 ;TENESTEYTING MV.;4.8;7.5;6.9;6.1
 ;HUSHALD OG JORDBRUK;11.3;12.2;12.0;11.7
 ;Primærnæringer;0.2;0.3;0.3;0.4
 ;Hushald;9.4;10.3;10.1;9.6
 ;Hytter og fritidshus;1.6;1.6;1.6;1.6
Tromsø;;;;;
 ;ALLE FORBRUKARGRUPPER;1079.0;1179.4;1163.7;1191.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;74.6;94.5;85.3;84.6
 ;TENESTEYTING MV.;449.8;482.3;475.8;488.4
 ;HUSHALD OG JORDBRUK;554.6;602.6;602.7;618.9
 ;Primærnæringer;4.2;4.1;4.5;4.6
 ;Hushald;542.1;589.5;588.7;604.0
 ;Hytter og fritidshus;8.3;9.1;9.4;10.3
Harstad;;;;;
 ;ALLE FORBRUKARGRUPPER;373.3;408.1;399.3;392.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;28.3;31.5;29.5;30.6
 ;TENESTEYTING MV.;137.3;152.2;143.7;136.1
 ;HUSHALD OG JORDBRUK;207.6;224.5;226.0;225.8
 ;Primærnæringer;4.5;5.3;5.6;5.4
 ;Hushald;199.8;215.4;215.4;215.3
 ;Hytter og fritidshus;3.3;3.7;5.1;5.1
Kvæfjord;;;;;
 ;ALLE FORBRUKARGRUPPER;40.5;44.8;44.0;43.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.1;0.2;0.1;0.1
 ;TENESTEYTING MV.;12.8;16.0;15.6;15.1
 ;HUSHALD OG JORDBRUK;27.5;28.6;28.3;28.3
 ;Primærnæringer;2.5;1.7;1.4;1.5
 ;Hushald;23.8;25.4;25.4;25.2
 ;Hytter og fritidshus;1.2;1.4;1.5;1.6
Skånland;;;;;
 ;ALLE FORBRUKARGRUPPER;47.4;51.6;49.8;50.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.3;2.8;2.5;2.7
 ;TENESTEYTING MV.;11.3;11.7;10.8;10.7
 ;HUSHALD OG JORDBRUK;33.8;37.0;36.5;37.2
 ;Primærnæringer;3.2;3.7;3.5;3.9
 ;Hushald;27.5;29.8;29.1;29.5
 ;Hytter og fritidshus;3.2;3.6;3.9;3.8
Bjarkøy;;;;;
 ;ALLE FORBRUKARGRUPPER;9.4;9.7;0.0;0.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.0;0.9;0.0;0.0
 ;TENESTEYTING MV.;2.7;2.7;0.0;0.0
 ;HUSHALD OG JORDBRUK;5.7;6.0;0.0;0.0
 ;Primærnæringer;0.4;0.3;0.0;0.0
 ;Hushald;4.1;4.4;0.0;0.0
 ;Hytter og fritidshus;1.3;1.4;0.0;0.0
Ibestad;;;;;
 ;ALLE FORBRUKARGRUPPER;25.7;26.6;26.2;26.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.5;1.7;1.6;1.6
 ;TENESTEYTING MV.;6.5;6.1;6.1;6.0
 ;HUSHALD OG JORDBRUK;17.7;18.8;18.5;18.4
 ;Primærnæringer;0.5;0.4;0.5;0.6
 ;Hushald;15.5;16.5;16.1;15.9
 ;Hytter og fritidshus;1.7;1.9;1.9;2.0
Gratangen;;;;;
 ;ALLE FORBRUKARGRUPPER;18.7;21.5;21.1;21.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.6;2.4;2.6;2.6
 ;TENESTEYTING MV.;5.1;5.1;4.7;4.7
 ;HUSHALD OG JORDBRUK;12.0;14.0;13.8;14.0
 ;Primærnæringer;1.0;1.6;1.5;1.7
 ;Hushald;9.8;10.8;10.7;10.6
 ;Hytter og fritidshus;1.3;1.6;1.6;1.7
Lavangen;;;;;
 ;ALLE FORBRUKARGRUPPER;12.8;14.2;13.9;14.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.2;0.2;0.2;0.3
 ;TENESTEYTING MV.;3.4;3.5;3.3;3.4
 ;HUSHALD OG JORDBRUK;9.2;10.5;10.4;10.5
 ;Primærnæringer;0.1;0.3;0.3;0.3
 ;Hushald;8.3;9.2;9.0;9.1
 ;Hytter og fritidshus;0.8;1.0;1.1;1.1
Bardu;;;;;
 ;ALLE FORBRUKARGRUPPER;74.5;77.5;75.1;76.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.5;2.4;2.0;1.9
 ;TENESTEYTING MV.;39.0;38.0;35.4;35.7
 ;HUSHALD OG JORDBRUK;34.0;37.1;37.7;38.4
 ;Primærnæringer;1.0;1.0;1.1;1.1
 ;Hushald;32.2;35.2;35.6;36.1
 ;Hytter og fritidshus;0.8;0.9;1.1;1.2
Salangen;;;;;
 ;ALLE FORBRUKARGRUPPER;33.6;36.7;37.3;38.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.6;0.6;0.8;1.4
 ;TENESTEYTING MV.;10.8;11.3;11.6;12.3
 ;HUSHALD OG JORDBRUK;22.2;24.8;24.9;24.8
 ;Primærnæringer;0.9;1.3;1.3;1.0
 ;Hushald;20.0;21.9;22.0;22.2
 ;Hytter og fritidshus;1.3;1.6;1.6;1.7
Målselv;;;;;
 ;ALLE FORBRUKARGRUPPER;155.0;175.5;172.2;175.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.4;12.0;13.1;14.1
 ;TENESTEYTING MV.;82.3;93.8;88.6;89.5
 ;HUSHALD OG JORDBRUK;61.3;69.7;70.5;71.9
 ;Primærnæringer;1.2;1.4;1.3;1.4
 ;Hushald;56.4;63.4;64.3;65.3
 ;Hytter og fritidshus;3.7;4.9;4.9;5.2
Sørreisa;;;;;
 ;ALLE FORBRUKARGRUPPER;46.2;51.3;50.0;50.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.0;2.5;1.9;1.9
 ;TENESTEYTING MV.;16.4;16.7;16.0;16.3
 ;HUSHALD OG JORDBRUK;28.8;32.1;32.1;32.6
 ;Primærnæringer;0.2;0.2;0.2;0.2
 ;Hushald;28.0;31.1;31.1;31.6
 ;Hytter og fritidshus;0.6;0.7;0.8;0.8
Dyrøy;;;;;
 ;ALLE FORBRUKARGRUPPER;17.1;18.8;19.3;20.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.8;0.9;0.9;1.0
 ;TENESTEYTING MV.;3.5;3.8;3.6;3.1
 ;HUSHALD OG JORDBRUK;12.8;14.1;14.8;16.3
 ;Primærnæringer;1.1;1.0;1.7;3.1
 ;Hushald;9.8;10.9;10.8;10.8
 ;Hytter og fritidshus;1.9;2.2;2.3;2.5
Tranøy;;;;;
 ;ALLE FORBRUKARGRUPPER;25.1;27.8;27.8;28.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.3;1.3;1.3;1.3
 ;TENESTEYTING MV.;6.0;6.7;6.4;6.4
 ;HUSHALD OG JORDBRUK;17.8;19.8;20.1;20.4
 ;Primærnæringer;1.5;1.8;2.0;2.0
 ;Hushald;13.5;14.8;14.7;15.0
 ;Hytter og fritidshus;2.9;3.2;3.3;3.4
Torsken;;;;;
 ;ALLE FORBRUKARGRUPPER;19.2;20.3;20.0;20.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.3;4.5;4.1;4.1
 ;TENESTEYTING MV.;4.1;4.0;4.4;4.5
 ;HUSHALD OG JORDBRUK;10.8;11.8;11.6;11.5
 ;Primærnæringer;1.1;1.5;1.3;1.5
 ;Hushald;8.5;8.9;9.0;8.9
 ;Hytter og fritidshus;1.2;1.3;1.3;1.2
Berg;;;;;
 ;ALLE FORBRUKARGRUPPER;41.2;44.1;42.3;40.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;20.3;20.1;20.1;19.9
 ;TENESTEYTING MV.;9.4;10.9;9.2;7.4
 ;HUSHALD OG JORDBRUK;11.5;13.2;13.1;13.5
 ;Primærnæringer;2.1;2.7;2.9;3.2
 ;Hushald;8.4;9.2;9.0;9.0
 ;Hytter og fritidshus;1.0;1.3;1.1;1.3
Lenvik;;;;;
